"","date","hits","keyword","geo","time","gprop","category"
"1",2017-12-03,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"2",2017-12-10,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"3",2017-12-17,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"4",2017-12-24,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"5",2017-12-31,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"6",2018-01-07,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"7",2018-01-14,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"8",2018-01-21,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"9",2018-01-28,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"10",2018-02-04,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"11",2018-02-11,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"12",2018-02-18,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"13",2018-02-25,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"14",2018-03-04,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"15",2018-03-11,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"16",2018-03-18,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"17",2018-03-25,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"18",2018-04-01,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"19",2018-04-08,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"20",2018-04-15,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"21",2018-04-22,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"22",2018-04-29,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"23",2018-05-06,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"24",2018-05-13,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"25",2018-05-20,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"26",2018-05-27,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"27",2018-06-03,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"28",2018-06-10,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"29",2018-06-17,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"30",2018-06-24,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"31",2018-07-01,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"32",2018-07-08,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"33",2018-07-15,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"34",2018-07-22,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"35",2018-07-29,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"36",2018-08-05,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"37",2018-08-12,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"38",2018-08-19,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"39",2018-08-26,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"40",2018-09-02,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"41",2018-09-09,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"42",2018-09-16,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"43",2018-09-23,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"44",2018-09-30,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"45",2018-10-07,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"46",2018-10-14,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"47",2018-10-21,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"48",2018-10-28,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"49",2018-11-04,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"50",2018-11-11,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"51",2018-11-18,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"52",2018-11-25,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"53",2018-12-02,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"54",2018-12-09,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"55",2018-12-16,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"56",2018-12-23,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"57",2018-12-30,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"58",2019-01-06,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"59",2019-01-13,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"60",2019-01-20,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"61",2019-01-27,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"62",2019-02-03,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"63",2019-02-10,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"64",2019-02-17,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"65",2019-02-24,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"66",2019-03-03,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"67",2019-03-10,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"68",2019-03-17,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"69",2019-03-24,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"70",2019-03-31,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"71",2019-04-07,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"72",2019-04-14,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"73",2019-04-21,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"74",2019-04-28,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"75",2019-05-05,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"76",2019-05-12,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"77",2019-05-19,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"78",2019-05-26,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"79",2019-06-02,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"80",2019-06-09,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"81",2019-06-16,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"82",2019-06-23,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"83",2019-06-30,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"84",2019-07-07,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"85",2019-07-14,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"86",2019-07-21,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"87",2019-07-28,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"88",2019-08-04,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"89",2019-08-11,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"90",2019-08-18,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"91",2019-08-25,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"92",2019-09-01,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"93",2019-09-08,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"94",2019-09-15,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"95",2019-09-22,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"96",2019-09-29,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"97",2019-10-06,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"98",2019-10-13,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"99",2019-10-20,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"100",2019-10-27,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"101",2019-11-03,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"102",2019-11-10,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"103",2019-11-17,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"104",2019-11-24,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"105",2019-12-01,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"106",2019-12-08,"0","covid 19","world","2017-12-01 2021-08-15","web",0
"107",2019-12-15,"0","covid 19","world","2017-12-01 2021-08-15","web",0
